stage,trend,yhat
0,20996.563821160948,20397.780606429584
0,20996.387082076624,20393.521789057188
0,20996.210342992305,20389.64067243276
0,20996.03360390798,20386.183210838346
0,20995.85686482366,20383.193073170492
0,20995.680125739338,20380.71101508506
0,20995.503386655015,20378.77428975051
0,20995.326647570695,20377.416106875808
0,20995.149908486375,20376.665148928245
0,20994.973169402052,20376.545152556784
0,20994.79643031773,20377.074562203594
0,20994.619691233405,20378.266261733334
0,20994.442952149086,20380.12738865366
0,20994.266213064766,20382.659234159226
0,20994.089473980443,20385.857230826266
0,20993.912734896123,20389.711028335878
0,20993.7359958118,20394.204656135742
0,20993.559256727476,20399.31677048451
0,20993.382517643156,20405.020981886333
0,20993.205778558833,20411.2862575385
0,20993.029039474513,20418.077392108327
0,20992.85230039019,20425.35553895027
0,20992.675561305867,20433.078792793338
0,20992.498822221547,20441.202813994896
0,20992.322083137224,20449.681483688397
0,20992.145344052904,20458.46757856847
0,20991.96860496858,20467.51345367007
0,20991.791865884257,20476.771721320787
0,20991.615126799938,20486.195914486856
0,20991.438387715614,20495.741122992382
0,20991.261648631295,20505.364591573754
0,20991.084909546975,20515.026269426864
0,20990.90817046265,20524.689301807288
0,20990.731431378328,20534.32045533728
0,20990.554692294005,20543.89046994184
0,20990.377953209685,20553.37433175455
0,20990.201214125365,20562.751462877306
0,20990.024475041042,20572.00582551807
0,20989.84773595672,20581.125939730533
0,20989.6709968724,20590.104815710092
0,20989.494257788076,20598.93980332039
0,20989.317518703756,20607.63236320039
0,20989.140779619433,20616.18776539378
0,20988.96404053511,20624.614722918057
0,20988.78730145079,20632.924969011285
0,20988.610562366466,20641.13278793385
0,20988.433823282146,20649.254510127797
0,20988.257084197827,20657.307983229082
0,20988.080345113503,20665.312030864625
0,20987.90360602918,20673.285911337847
0,20987.726866944857,20681.248788203786
0,20987.550127860537,20689.21922435879
0,20987.373388776217,20697.214710624605
0,20987.196649691894,20705.25123890775
0,20987.01991060757,20713.342928877966
0,20986.84317152325,20721.501715761206
2,20986.666432438928,20729.737105314638
3,20986.489693354608,20738.05600037565
2,20986.312954270285,20746.462601596595
2,20986.13621518596,20754.958383134443
2,20985.95947610164,20763.542142202252
0,20985.782737017318,20772.21011955649
0,20985.605997933,20780.95618623567
0,20985.429258848675,20789.772090225386
0,20985.252519764355,20798.64775524577
0,20985.075780680032,20807.571622579773
0,20984.89904159571,20816.531025815002
0,20984.72230251139,20825.512587590605
0,20984.54556342707,20834.502626942634
0,20984.368824342746,20843.487565644027
0,20984.192085258423,20852.45432204347
0,20984.0153461741,20861.3906813212
0,20983.83860708978,20870.285631792434
0,20983.66186800546,20879.129657879177
0,20983.485128921136,20887.91498161896
0,20983.308389836813,20896.635746049724
0,20983.131650752493,20905.288135467963
0,20982.95491166817,20913.870429356983
0,20982.77817258385,20922.382988677316
0,20982.601433499527,20930.82817515171
0,20982.424694415207,20939.21020610809
0,20982.247955330884,20947.534949313616
0,20982.07121624656,20955.809663991287
0,20981.89447716224,20964.04269580352
0,20981.71773807792,20972.243134974113
0,20981.540998993598,20980.42044785669
0,20981.364259909275,20988.58409311298
0,20981.18752082495,20996.74313420852
3,20981.01078174063,21004.905860149935
2,20980.83404265631,21013.07942626786
4,20980.65730357199,21021.26952638882
2,20980.480564487665,21029.480106950807
1,20980.303825403345,21037.713132517267
3,20980.127086319022,21045.9684107588
2,20979.950347234702,21054.243483338545
2,20979.77360815038,21062.533587296395
2,20979.59686906606,21070.83168953053
3,20979.420129981736,21079.128594873393
0,20979.243390897413,21087.41312611263
0,20979.066651813093,21095.672372176974
0,20978.889912728773,21103.891998648232
0,20978.71317364445,21112.056612838936
0,20978.536434560127,21120.15017393988
0,20978.359695475803,21128.156437252637
0,20978.182956391483,21136.05942031634
0,20978.006217307164,21143.84387786134
0,20977.82947822284,21151.49577200103
0,20977.652739138517,21159.002723927264
0,20977.476000054197,21166.35443361754
0,20977.299260969874,21173.543054690264
0,20977.122521885554,21180.563512548757
0,20976.94578280123,21187.41375531188
0,20976.76904371691,21194.094928709244
0,20976.592304632588,21200.61146807863
0,20976.415565548265,21206.971102794232
0,20976.238826463945,21213.184770816737
0,20976.062087379625,21219.266443533015
0,20975.8853482953,21225.232863568803
0,20975.70860921098,21231.103200752044
0,20975.531870126655,21236.898633799643
0,20975.355131042335,21242.641867535676
0,20975.178391958016,21248.35659745206
0,20975.001652873692,21254.066935140258
0,20974.82491378937,21259.796809498268
0,20974.64817470505,21265.569359607576
0,20974.471435620726,21271.406335745844
0,20974.294696536406,21277.327525129916
0,20974.117957452083,21283.350218657175
0,20973.941218367763,21289.4887341328
0,20973.76447928344,21295.75401024954
0,20973.587740199117,21302.1532839494
0,20973.411001114797,21308.689861780982
0,20973.234262030477,21315.362993518575
0,20973.057522946154,21322.167853690706
0,20972.88078386183,21329.095633837616
0,20972.704044777507,21336.13374535635
0,20972.527305693187,21343.26612977493
0,20972.350566608868,21350.473670302144
0,20972.173827524544,21357.73469561148
0,20971.99708844022,21365.025564112362
0,20971.8203493559,21372.321314518987
0,20971.643610271578,21379.596366413334
0,20971.46687118726,21386.825252778614
0,20971.290132102935,21393.983365206965
0,20971.113393018615,21401.047691697888
0,20970.936653934292,21407.99752669712
0,20970.75991484997,21414.815133290238
0,20970.58317576565,21421.486338268354
0,20970.406436681325,21428.00104210878
0,20970.229697597006,21434.353627738696
0,20970.052958512682,21440.543254234522
0,20969.87621942836,21446.574024300477
0,20969.69948034404,21452.455017405086
0,20969.522741259716,21458.20018376035
0,20969.346002175396,21463.828097822206
0,20969.169263091073,21469.36157358692
0,20968.99252400675,21474.827147563687
0,20968.81578492243,21480.25443882712
0,20968.639045838107,21485.67539890114
0,20968.462306753787,21491.12346731073
0,20968.285567669467,21496.632651377717
0,20968.108828585144,21502.236551153746
0,20967.93208950082,21507.967352216197
0,20967.755350416497,21513.854810345303
0,20967.578611332177,21519.925252814515
0,20967.401872247858,21526.200621134336
0,20967.225133163534,21532.697579584248
0,20967.04839407921,21539.426712749777
0,20966.87165499489,21546.39183357655
0,20966.694915910568,21553.589421193446
0,20966.51817682625,21561.00820499503
0,20966.341437741925,21568.6289082707
0,20966.1646986576,21576.424161102364
0,20965.987959573282,21584.358588406005
0,20965.81122048896,21592.389074959523
0,20965.63448140464,21600.465205138054
0,20965.457742320315,21608.529870967686
0,20965.281003235996,21616.52003811239
0,20965.104264151672,21624.367655624414
0,20964.92752506735,21632.000691810987
0,20964.75078598303,21639.344275485055
0,20964.57404689871,21646.321919255115
0,20964.397307814386,21652.85679943178
0,20964.220568730063,21658.87306564337
0,20964.04382964574,21664.297152393596
0,20963.86709056142,21669.059064588826
0,20963.6903514771,21673.09360951222
0,20963.513612392777,21676.341548823115
0,20963.336873308454,21678.750645880245
0,20963.160134224134,21680.27658599216
0,20962.98339513981,21680.883750025972
0,20962.80665605549,21680.545825091816
0,20962.629916971167,21679.246239682387
0,20962.453177886848,21676.978414597677
0,20962.276438802524,21673.745825125457
0,20962.0996997182,21669.56187418097
0,20961.92296063388,21664.449580328714
0,20961.74622154956,21658.441088714826
0,20961.56948246524,21651.577016831554
0,20961.392743380915,21643.905650621447
0,20961.21600429659,21635.48200962452
0,20961.039265212272,21626.366802600154
0,20960.862526127952,21616.625297256276
0,20960.68578704363,21606.32612933981
0,20960.509047959305,21595.540077351354
0,20960.332308874986,21584.338829524382
0,20960.155569790662,21572.793769451484
0,20959.978830706343,21560.97480586077
0,20959.80209162202,21548.949270571295
0,20959.6253525377,21536.780906633154
0,20959.448613453376,21524.528966138667
0,20959.271874369053,21512.247434246427
0,20959.095135284733,21499.984392667622
0,20958.918396200414,21487.781532309873
0,20958.74165711609,21475.673821049837
0,20958.564918031767,21463.689328807835
0,20958.388178947444,21451.849208320622
0,20958.211439863124,21440.167826347333
0,20958.034700778804,21428.65303658804
0,20957.85796169448,21417.30658242789
0,20957.681222610157,21406.124614819248
0,20957.504483525838,21395.098308240376
0,20957.327744441514,21384.214555780894
0,20957.151005357195,21373.45672303528
0,20956.97426627287,21362.805439665448
0,20956.79752718855,21352.239407231624
0,20956.62078810423,21341.73620218418
0,20956.444049019905,21331.27305373938
0,20956.267309935585,21320.827577697262
0,20956.090570851266,21310.37844905654
0,20955.913831766942,21299.905998483024
0,20955.73709268262,21289.392720227206
0,20955.560353598295,21278.823681893577
0,20955.383614513976,21268.18682945484
0,20955.206875429656,21257.47318399917
0,20955.030136345333,21246.67692980964
0,20954.85339726101,21235.79539642163
0,20954.67665817669,21224.828940203355
0,20954.499919092366,21213.780733680516
0,20954.323180008047,21202.656473212697
0,20954.146440923723,21191.464017664355
0,20953.969701839404,21180.2129723478
0,20953.79296275508,21168.91423371467
0,20953.616223670757,21157.579511006174
0,20953.439484586437,21146.22084133361
0,20953.262745502117,21134.850114444125
0,20953.086006417794,21123.47862275298
0,20952.90926733347,21112.116651112236
0,20952.732528249147,21100.7731192782
0,20952.555789164828,21089.455288183424
0,20952.379050080508,21078.16853896928
0,20952.202310996185,21066.916231357907
0,20952.02557191186,21055.699645404846
0,20951.84883282754,21044.518008052084
0,20951.67209374322,21033.36860326822
0,20951.4953546589,21022.24696199064
0,20951.318615574575,21011.147125649357
0,20951.141876490256,21000.061974817043
0,20950.965137405932,20988.983612555294
0,20950.78839832161,20977.903790369695
0,20950.61165923729,20966.814363384838
0,20950.434920152966,20955.707760442263
0,20950.258181068646,20944.577454328315
0,20950.081441984323,20933.418417269164
0,20949.9047029,20922.227547183797
0,20949.72796381568,20911.004050948824
0,20949.551224731356,20899.74977208201
0,20949.374485647037,20888.4694517564
0,20949.197746562713,20877.170913871327
0,20949.02100747839,20865.86516698183
0,20948.84426839407,20854.566418161732
0,20948.667529309747,20843.29199628892
0,20948.490790225427,20832.062184724553
0,20948.314051141107,20820.899965846314
0,20948.137312056784,20809.83068232147
0,20947.96057297246,20798.881622300436
0,20947.783833888137,20788.081537821054
0,20947.607094803818,20777.46010757518
0,20947.430355719498,20767.047356760322
0,20947.253616635175,20756.873047973477
0,20947.07687755085,20746.966057976624
0,20946.90013846653,20737.353755648197
0,20946.72339938221,20728.06139652081
0,20946.54666029789,20719.111548996858
0,20946.369921213565,20710.523566633867
0,20946.193182129242,20702.313119824896
0,20946.016443044922,20694.49179879417
0,20945.8397039606,20687.066798121115
0,20945.66296487628,20680.040691044684
0,20945.48622579196,20673.411299632382
0,20945.309486707636,20667.171664584876
0,20945.132747623313,20661.310116045035
0,20944.95600853899,20655.810444348306
0,20944.77926945467,20650.652167257453
0,20944.60253037035,20645.810887920958
0,20944.425791286027,20641.258735642878
0,20944.249052201703,20636.96487960201
0,20944.072313117384,20632.896103959327
0,20943.89557403306,20629.01743137941
0,20943.71883494874,20625.292780903295
0,20943.542095864417,20621.685645363803
0,20943.365356780094,20618.15977314774
0,20943.188617695774,20614.67983908955
0,20943.01187861145,20611.21208962082
2,20942.83513952713,20607.72494799028
2,20942.65840044281,20604.18956638741
3,20942.481661358488,20600.580313122813
2,20942.304922274165,20596.87518460078
0,20942.12818318984,20593.05613362891
0,20941.95144410552,20589.109307594746
0,20941.774705021202,20585.02519215353
0,20941.59796593688,20580.798658262298
0,20941.421226852555,20576.42891261165
0,20941.244487768236,20571.919353692476
0,20941.067748683912,20567.2773378455
0,20940.891009599593,20562.51386162285
0,20940.71427051527,20557.643168604995
0,20940.537531430946,20552.68229041909
0,20940.360792346626,20547.650533067615
0,20940.184053262303,20542.568920769358
0,20940.007314177983,20537.45961031805
0,20939.830575093663,20532.345289467758
0,20939.65383600934,20527.248573048655
0,20939.477096925017,20522.191410406114
0,20939.300357840693,20517.19451734835
0,20939.123618756374,20512.27684509761
1,20938.946879672054,20507.455097787726
1,20938.77014058773,20502.74330886444
0,20938.593401503407,20498.1524853539
0,20938.416662419088,20493.690327403314
0,20938.239923334764,20489.36102880523
0,20938.063184250444,20485.16516242971
0,20937.88644516612,20481.099652649275
0,20937.709706081798,20477.157834987862
0,20937.532966997478,20473.329601397956
0,20937.356227913155,20469.601627806074
0,20937.179488828835,20465.95767889983
0,20937.002749744515,20462.37898359409
0,20936.826010660192,20458.84467323404
0,20936.64927157587,20455.3322733963
0,20936.472532491545,20451.81823915172
0,20936.295793407226,20448.278522873246
0,20936.119054322906,20444.68916311585
0,20935.942315238583,20441.026882770566
0,20935.76557615426,20437.26968459988
0,20935.58883706994,20433.39743239513
0,20935.412097985616,20429.392406346462
0,20935.235358901296,20425.239821775853
0,20935.058619816973,20420.928301131586
0,20934.88188073265,20416.45029006734
0,20934.70514164833,20411.802409503263
0,20934.528402564007,20406.98573677312
0,20934.351663479687,20402.006010273333
0,20934.174924395367,20396.87375342193
1,20933.998185311044,20391.604315184955
4,20933.82144622672,20386.217825905493
1,20933.644707142397,20380.73906865499
1,20933.467968058078,20375.197267789794
3,20933.291228973758,20369.625797818302
2,20933.114489889434,20364.06181703992
2,20932.93775080511,20358.54583168907
1,20932.76101172079,20353.12119748496
3,20932.584272636468,20347.83356653502
0,20932.40753355215,20342.73028845172
0,20932.230794467825,20337.859775306686
0,20932.0540553835,20333.270840652134
0,20931.877316299182,20329.012023279753
0,20931.70057721486,20325.13090665531
0,20931.52383813054,20321.6734450609
0,20931.34709904622,20318.683307393043
0,20931.170359961896,20316.201249307614
0,20930.993620877573,20314.264523973066
0,20930.81688179325,20312.906341098358
0,20930.64014270893,20312.1553831508
0,20930.46340362461,20312.035386779335
0,20930.286664540286,20312.564796426148
0,20930.109925455963,20313.756495955888
0,20929.933186371643,20315.61762287621
0,20929.75644728732,20318.149468381776
0,20929.579708203,20321.34746504882
0,20929.402969118677,20325.20126255844
0,20929.226230034354,20329.6948903583
0,20929.049490950034,20334.807004707065
0,20928.87275186571,20340.51121610889
1,20928.69601278139,20346.77649176105
1,20928.519273697068,20353.56762633088
0,20928.342534612748,20360.84577317282
0,20928.165795528424,20368.569027015892
3,20927.9890564441,20376.693048217443
0,20927.81231735978,20385.171717910955
2,20927.635578275458,20393.95781279104
0,20927.45883919114,20403.00368789261
0,20927.282100106815,20412.26195554334
0,20927.10536102249,20421.68614870942
0,20926.928621938172,20431.23135721494
0,20926.75188285385,20440.854825796305
0,20926.57514376953,20450.516503649433
0,20926.398404685206,20460.179536029842
0,20926.221665600886,20469.81068955982
0,20926.044926516563,20479.380704164414
0,20925.86818743224,20488.864565977092
0,20925.69144834792,20498.24169709986
0,20925.5147092636,20507.496059740628
0,20925.337970179276,20516.616173953105
0,20925.161231094953,20525.595049932635
0,20924.98449201063,20534.430037542956
0,20924.80775292631,20543.122597422953
0,20924.63101384199,20551.677999616357
0,20924.454274757667,20560.104957140604
0,20924.277535673344,20568.415203233853
1,20924.100796589024,20576.623022156415
2,20923.9240575047,20584.744744350348
0,20923.74731842038,20592.798217451647
0,20923.570579336058,20600.802265087194
4,20923.393840251738,20608.77614556039
2,20923.217101167415,20616.73902242635
0,20923.04036208309,20624.709458581357
0,20922.86362299877,20632.704944847148
0,20922.68688391445,20640.74147313032
0,20922.51014483013,20648.833163100535
1,20922.333405745805,20656.991949983774
1,20922.15666666148,20665.227339537207
3,20921.979927577162,20673.546234598212
0,20921.803188492842,20681.952835819167
0,20921.62644940852,20690.448617357015
1,20921.449710324196,20699.032376424828
1,20921.272971239876,20707.700353779055
2,20921.096232155553,20716.446420458247
0,20920.919493071233,20725.262324447955
0,20920.74275398691,20734.137989468345
0,20920.56601490259,20743.061856802313
1,20920.389275818266,20752.02126003758
0,20920.212536733943,20761.00282181318
1,20920.035797649623,20769.992861165174
0,20919.859058565304,20778.977799866603
0,20919.68231948098,20787.944556266044
0,20919.505580396657,20796.88091554374
0,20919.328841312334,20805.775866014978
0,20919.152102228014,20814.61989210175
0,20918.975363143694,20823.405215841503
0,20918.79862405937,20832.125980272267
0,20918.621884975048,20840.778369690535
0,20918.445145890728,20849.36066357953
0,20918.268406806405,20857.873222899856
0,20918.091667722085,20866.318409374286
0,20917.91492863776,20874.70044033064
0,20917.73818955344,20883.025183536163
0,20917.56145046912,20891.29989821384
0,20917.384711384795,20899.532930026093
1,20917.207972300475,20907.733369196656
5,20917.031233216156,20915.910682079233
1,20916.854494131832,20924.074327335562
0,20916.67775504751,20932.233368431065
2,20916.501015963186,20940.396094372485
3,20916.324276878866,20948.569660490437
2,20916.147537794546,20956.759760611367
0,20915.970798710223,20964.970341173354
0,20915.7940596259,20973.203366739803
0,20915.61732054158,20981.458644981347
0,20915.440581457256,20989.73371756108
0,20915.263842372937,20998.023821518935
0,20915.087103288613,21006.32192375309
0,20914.910364204294,21014.618829095936
0,20914.73362511997,21022.90336033518
0,20914.556886035647,21031.162606399517
0,20914.380146951327,21039.38223287077
0,20914.203407867008,21047.546847061476
0,20914.026668782684,21055.64040816243
0,20913.84992969836,21063.64667147522
0,20913.673190614038,21071.54965453888
0,20913.496451529718,21079.334112083903
0,20913.3197124454,21086.98600622361
0,20913.142973361075,21094.492958149815
0,20912.96623427675,21101.844667840083
0,20912.78949519243,21109.033288912808
0,20912.61275610811,21116.053746771293
0,20912.43601702379,21122.903989534425
0,20912.259277939465,21129.585162931777
0,20912.082538855146,21136.101702301206
0,20911.905799770822,21142.461337016775
0,20911.7290606865,21148.67500503928
0,20911.55232160218,21154.756677755555
0,20911.37558251786,21160.723097791346
0,20911.198843433536,21166.593434974588
0,20911.022104349213,21172.38886802219
0,20910.84536526489,21178.132101758216
0,20910.66862618057,21183.8468316746
0,20910.49188709625,21189.55716936281
0,20910.315148011927,21195.287043720848
0,20910.138408927603,21201.059593830123
0,20909.961669843284,21206.89656996838
0,20909.78493075896,21212.81775935247
0,20909.60819167464,21218.84045287972
0,20909.431452590317,21224.978968355354
0,20909.254713505994,21231.24424447208
0,20909.077974421674,21237.643518171975
0,20908.90123533735,21244.18009600352
0,20908.72449625303,21250.853227741118
0,20908.547757168708,21257.65808791327
0,20908.37101808439,21264.585868060156
0,20908.194279000065,21271.623979578904
0,20908.01753991574,21278.756363997476
0,20907.84080083142,21285.963904524695
0,20907.6640617471,21293.22492983402
0,20907.48732266278,21300.51579833491
0,20907.310583578455,21307.81154874156
0,20907.133844494132,21315.086600635877
0,20906.957105409812,21322.315487001164
0,20906.78036632549,21329.473599429508
0,20906.60362724117,21336.537925920435
0,20906.426888156846,21343.487760919663
0,20906.250149072526,21350.30536751279
0,20906.073409988203,21356.976572490923
0,20905.89667090388,21363.491276331322
0,20905.71993181956,21369.843861961243
0,20905.54319273524,21376.03348845709
0,20905.366453650917,21382.06425852303
0,20905.189714566593,21387.94525162763
0,20905.01297548227,21393.690417982903
0,20904.83623639795,21399.318332044757
0,20904.65949731363,21404.851807809468
0,20904.482758229307,21410.317381786226
0,20904.306019144984,21415.74467304969
0,20904.129280060664,21421.165633123685
0,20903.95254097634,21426.61370153328
0,20903.77580189202,21432.122885600278
0,20903.599062807698,21437.726785376297
0,20903.42232372338,21443.45758643876
0,20903.245584639055,21449.34504456787
0,20903.06884555473,21455.41548703707
0,20902.89210647041,21461.69085535689
0,20902.715367386092,21468.187813806813
0,20902.53862830177,21474.916946972346
0,20902.361889217445,21481.8820677991
0,20902.185150133122,21489.079655415997
0,20902.008411048802,21496.498439217594
0,20901.831671964483,21504.119142493244
0,20901.65493288016,21511.91439532493
0,20901.478193795836,21519.84882262856
0,20901.301454711516,21527.879309182088
0,20901.124715627193,21535.955439360605
0,20900.947976542873,21544.020105190248
0,20900.77123745855,21552.010272334937
0,20900.59449837423,21559.857889846975
0,20900.417759289907,21567.49092603355
0,20900.241020205583,21574.83450970761
0,20900.064281121264,21581.812153477673
0,20899.887542036944,21588.347033654332
0,20899.71080295262,21594.363299865923
0,20899.534063868297,21599.78738661616
0,20899.357324783974,21604.549298811377
0,20899.180585699654,21608.583843734777
0,20899.003846615335,21611.831783045676
0,20898.82710753101,21614.240880102803
0,20898.650368446688,21615.766820214714
0,20898.47362936237,21616.373984248527
0,20898.296890278045,21616.036059314363
0,20898.120151193725,21614.736473904937
0,20897.943412109402,21612.468648820224
0,20897.766673025082,21609.236059348008
0,20897.58993394076,21605.05210840352
0,20897.413194856435,21599.939814551268
0,20897.236455772116,21593.931322937387
0,20897.059716687796,21587.0672510541
0,20896.882977603473,21579.395884843998
0,20896.70623851915,21570.97224384708
0,20896.529499434826,21561.857036822697
0,20896.352760350506,21552.115531478816
0,20896.176021266187,21541.81636356238
0,20895.999282181863,21531.03031157391
0,20895.82254309754,21519.829063746925
0,20895.64580401322,21508.28400367404
2,20895.469064928897,21496.465040083327
2,20895.292325844577,21484.439504793834
3,20895.115586760254,21472.271140855715
2,20894.938847675934,21460.019200361236
2,20894.76210859161,21447.737668468988
3,20894.585369507287,21435.474626890194
3,20894.408630422968,21423.271766532438
0,20894.231891338648,21411.1640552724
0,20894.055152254325,21399.179563030404
0,20893.87841317,21387.339442543183
0,20893.701674085678,21375.6580605699
0,20893.52493500136,21364.143270810575
0,20893.34819591704,21352.79681665046
0,20893.171456832715,21341.61484904181
0,20892.994717748392,21330.58854246292
0,20892.817978664072,21319.70479000346
0,20892.64123957975,21308.94695725785
0,20892.46450049543,21298.295673888013
