Country Name,Country Code,Series Name,Series Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Pakistan,PAK,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,55.9047516351846,55.6803622791098,55.5370240052054,55.4551396654669,55.4063496736075,55.3690033720352,55.3277929638166,54.1368324356,54.3931808351517,..
Pakistan,PAK,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,97.2632446289063,97.6796035766602,98.1066131591797,98.5421524047852,98.9840850830078,99.4302825927734,99.8786087036133,100,100,..
Pakistan,PAK,"CO2 emissions from electricity and heat production, total (% of total fuel combustion)",EN.CO2.ETOT.ZS,31.7600487210719,30.5459206756145,31.2001787975862,33.2988012431553,33.6826020519537,..,..,..,..,..
Pakistan,PAK,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,0.0932361417189354,0.100956988116521,0.0634590377113134,0.150851300972366,0.135529218230082,0.137108631529573,..,..,..,..
Pakistan,PAK,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,33.7038057297847,29.9894836470712,31.0605981794538,30.6247357700142,30.3529367779564,30.6726441219184,..,..,..,..
Pakistan,PAK,Electricity production from natural gas sources (% of total),EG.ELC.NGAS.ZS,27.4188421766401,29.0777158481439,28.2091027308192,25.6255044390638,26.5001682431675,25.7250069907361,..,..,..,..
Pakistan,PAK,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,3.62349550771317,5.53685981701546,4.73654096228869,4.89065682770283,4.7575429020077,..,..,..,..,..
Pakistan,PAK,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,35.1606204441431,35.294983699653,35.9302990897269,38.3267996464122,36.8368415149363,37.2249934602791,..,..,..,..
Pakistan,PAK,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,62.6726987625021,64.4736565359133,64.2028608582575,64.1031553864484,63.4725389763338,63.0871090825448,..,..,..,..
Pakistan,PAK,"Electricity production from renewable sources, excluding hydroelectric (% of total)",EG.ELC.RNWX.ZS,0,0,0,0.381452015834582,0.749616779451901,0.757705595295009,..,..,..,..
Pakistan,PAK,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,0,0,0,397000000,802000000,840000000,..,..,..,..
Pakistan,PAK,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,33.7038057297847,29.9894836470712,31.0605981794538,31.0061877858488,31.1025535574083,31.4303497172134,..,..,..,..
Pakistan,PAK,Time required to get electricity (days),IC.ELC.TIME,..,..,..,180.7,180.7,161.2,161.85,161.85,161.85,112.65
Nigeria,NGA,Access to electricity (% of population),EG.ELC.ACCS.ZS,48,55.9,53.2793312072754,55.6,54.9188957214355,52.5,59.3,54.4,56.5,..
Nigeria,NGA,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,23.536730395853,31.0191859852942,27.8371653436331,31.6345943081311,29.001444827311,25.9039724605354,33.9704584020483,22.617436179279,30.9508458743352,..
Nigeria,NGA,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,79.8,87.1,84.0679168701172,83.6,84.1660842895508,81.5,86,86.8,81.7,..
Nigeria,NGA,"CO2 emissions from electricity and heat production, total (% of total fuel combustion)",EN.CO2.ETOT.ZS,34.1043571812803,36.2259179976947,37.3419721871049,36.8225206277301,39.0625,..,..,..,..,..
Nigeria,NGA,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,0,0,0,0,0,0,..,..,..,..
Nigeria,NGA,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,24.4018222885801,21.7614855367315,19.7136487145544,18.4399127514455,17.5913129318855,18.1951250556864,..,..,..,..
Nigeria,NGA,Electricity production from natural gas sources (% of total),EG.ELC.NGAS.ZS,75.5981777114199,78.2385144632685,80.2863512854456,81.5600872485545,82.4086870681145,81.8048749443136,..,..,..,..
Nigeria,NGA,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,0,0,0,0,0,..,..,..,..,..
Nigeria,NGA,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,0,0,0,0,0,0,..,..,..,..
Nigeria,NGA,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,75.5981777114199,78.2385144632685,80.2863512854456,81.5600872485545,82.4086870681145,81.8048749443136,..,..,..,..
Nigeria,NGA,"Electricity production from renewable sources, excluding hydroelectric (% of total)",EG.ELC.RNWX.ZS,0,0,0,0,0,0,..,..,..,..
Nigeria,NGA,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,0,0,0,0,0,0,..,..,..,..
Nigeria,NGA,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,24.4018222885801,21.7614855367315,19.7136487145544,18.4399127514455,17.5913129318855,18.1951250556864,..,..,..,..
Nigeria,NGA,Time required to get electricity (days),IC.ELC.TIME,..,..,..,149.44,149.44,149.44,149.44,149.44,115.33,109.8
"Egypt, Arab Rep.",EGY,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.1528930664063,99.4522476196289,99.7,99.731201171875,99.8,99.3,100,100,100,..
"Egypt, Arab Rep.",EGY,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,98.7593891022488,99.2179178549448,99.8258394002141,99.6246266509975,99.7250555432637,99.4495586839221,100,100,100,..
"Egypt, Arab Rep.",EGY,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.674110413,99.7628707885742,99.532821655,99.8730926513672,99.9,99.1,99.9969253540039,100,100,..
"Egypt, Arab Rep.",EGY,"CO2 emissions from electricity and heat production, total (% of total fuel combustion)",EN.CO2.ETOT.ZS,44.1269841269841,44.5685501533071,46.5846056315706,49.5712815822568,50.3376233623824,..,..,..,..,..
"Egypt, Arab Rep.",EGY,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,0,0,0,0,0,0,..,..,..,..
"Egypt, Arab Rep.",EGY,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,8.88716313796016,8.21696758700431,7.97009014262458,7.94525438857483,7.90393137955683,7.38115256323601,..,..,..,..
"Egypt, Arab Rep.",EGY,Electricity production from natural gas sources (% of total),EG.ELC.NGAS.ZS,76.476198261533,79.6932772575378,75.9597395339796,73.4947932163047,71.6620443173695,70.7287184644213,..,..,..,..
"Egypt, Arab Rep.",EGY,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,0,0,0,0,0,..,..,..,..,..
"Egypt, Arab Rep.",EGY,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,13.4758440284476,10.9798864083961,15.1608474864543,17.6233263909551,19.467047891351,21.0119960214752,..,..,..,..
"Egypt, Arab Rep.",EGY,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,89.9520422899807,90.673163665934,91.120587020434,91.1181196072597,91.1290922087205,91.7407144858966,..,..,..,..
"Egypt, Arab Rep.",EGY,"Electricity production from renewable sources, excluding hydroelectric (% of total)",EG.ELC.RNWX.ZS,1.16079457205918,1.10986874706174,0.909322836941468,0.936626004165427,0.966976411722659,0.878132950867417,..,..,..,..
"Egypt, Arab Rep.",EGY,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,1704000000,1747000000,1497000000,1574000000,1691000000,1598000000,..,..,..,..
"Egypt, Arab Rep.",EGY,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,10.0479577100193,9.32683633406604,8.87941297956605,8.88188039274026,8.87090779127949,8.25928551410343,..,..,..,..
"Egypt, Arab Rep.",EGY,Time required to get electricity (days),IC.ELC.TIME,53,53,53,53,53,53,53,53,53,53
Algeria,DZA,Access to electricity (% of population),EG.ELC.ACCS.ZS,98.8776245117188,99.0497894287109,98.7646604654583,99.5385818481445,99.8408203125,99.9313659667969,99.9900512695313,100,100,..
Algeria,DZA,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,97.4341001159977,97.5639571316878,97.6737324903913,98.5730720965907,99.4790642340545,99.7645649276127,99.9651423192806,100,100,..
Algeria,DZA,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.5713882446289,99.7414474487305,99.2567375886525,99.9607772827148,99.9942321777344,100,100,100,100,..
Algeria,DZA,"CO2 emissions from electricity and heat production, total (% of total fuel combustion)",EN.CO2.ETOT.ZS,37.9241933799729,38.8698462442464,39.8662690882805,38.4264137688795,38.8269747010494,..,..,..,..,..
Algeria,DZA,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,0,0,0,0,0,0,..,..,..,..
Algeria,DZA,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,0.380460926225565,0.980009370607528,1.08368033172465,0.55101018533979,0.395379969490365,0.210761940754092,..,..,..,..
Algeria,DZA,Electricity production from natural gas sources (% of total),EG.ELC.NGAS.ZS,97.5116980802029,96.9350304544745,97.0712755022039,97.9428953080648,98.6115002646244,98.357510392744,..,..,..,..
Algeria,DZA,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,0,0,0,0,0,..,..,..,..,..
Algeria,DZA,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2.10784099357152,2.08496017491801,1.8450441660714,1.50609450659543,0.993119765885247,1.31980580830838,..,..,..,..
Algeria,DZA,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,99.6195390737744,99.0199906293925,98.9163196682753,99.4489898146602,99.6046200305096,99.6773162010524,..,..,..,..
Algeria,DZA,"Electricity production from renewable sources, excluding hydroelectric (% of total)",EG.ELC.RNWX.ZS,0,0,0,0,0,0.111921858193552,..,..,..,..
Algeria,DZA,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,0,0,0,0,0,77000000,..,..,..,..
Algeria,DZA,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,0.380460926225565,0.980009370607528,1.08368033172465,0.55101018533979,0.395379969490365,0.322683798947644,..,..,..,..
Algeria,DZA,Time required to get electricity (days),IC.ELC.TIME,158,158,158,180,180,180,180,180,84,84
World,WLD,Access to electricity (% of population),EG.ELC.ACCS.ZS,..,..,..,..,..,..,..,..,..,..
World,WLD,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,..,..,..,..,..,..,..,..,..,..
World,WLD,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,..,..,..,..,..,..,..,..,..,..
World,WLD,"CO2 emissions from electricity and heat production, total (% of total fuel combustion)",EN.CO2.ETOT.ZS,48.7667508187656,49.2857832623901,49.4672746440745,49.3747327036858,49.040196524616,..,..,..,..,..
World,WLD,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,40.1096190864404,41.0009990715183,40.2771600207239,41.0449300409857,40.4880465362012,39.1675949345313,..,..,..,..
World,WLD,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,15.8813024740239,15.7035134863238,16.0618389271,16.1479034994464,16.2438748967401,15.8984445574032,..,..,..,..
