Country Name,Country Code,Series Name,Series Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
South Africa,ZAF,"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,25.4783908807209,25.6737650107152,28.1978995584604,28.4572683123003,29.4770839011187,30.9975911087988,31.7089750031984,31.2332406339527,31.0242048686138,31.60818628509,..,..
South Africa,ZAF,Time required to start a business (days),IC.REG.DURS,..,..,45,45,45,46,46,45,45,40,40,..
South Africa,ZAF,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,94.8063825588435,148.565356051416,171.536395018741,181.182057660785,181.914161852282,185.065133563794,176.474147151874,176.048392625734,180.326730534376,170.957453374218,..,..
South Africa,ZAF,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,23.1119406230036,23.3436856721377,25.1798227456576,25.5881318576991,26.0439096125552,26.541192010495,27.3427766000113,27.1094948411699,26.9488765400796,27.4652179666128,..,..
South Africa,ZAF,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,3.89635147817926,1.38728913141799,1.10325767555138,1.1327931119157,1.12327426203249,1.10943788284507,1.09918207478519,1.07552955178529,1.04366339589233,0.981709721430103,..,..
South Africa,ZAF,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,0.015434569,18.54441859,123.0680361,129.4540207,143.1726577,145.3513872,158.8829468,146.6221873,155.2323957,159.9306644,165.5999383,..
South Africa,ZAF,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,..,..,6.05911759399006,6.63105522622976,6.50182168422364,6.64166829184591,6.96500639244376,6.24187077517038,5.21583600110024,5.31969377781065,..,..
South Africa,ZAF,Statistical Capacity score (Overall average),IQ.SCI.OVRL,..,..,81.1111111111111,72.2222222222222,76.6666666666667,74.4444444444444,81.1111,82.2222333333333,75.5555666666667,75.5555666666667,75.5555666666667,..
South Africa,ZAF,Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,36.302161185087,43.7646171159842,56.0121104106237,57.2145569845294,60.6502657024055,61.2682236533686,58.4511977898626,56.6566134166541,54.50457909278,56.4616466980543,56.2143450729097,..
South Africa,ZAF,Net barter terms of trade index (2000 = 100),TT.PRI.MRCH.XD.WD,104.3478261,100,146.2948344,145.2396744,137.5087277,135.833052,139.8581679,144.9751805,151.2658447,146.4963701,..,..
