Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
South Africa,ZAF,Population density (people per sq. km of land area),EN.POP.DNST,37.0687319160161,37.5662762037442,38.0440964808877,38.5125555399847,38.9844199523531,39.4699494678878,39.971856168957,40.4914383928645,41.0352661385388,41.610277061059,42.2202507645764,42.8691787089169,43.5532441945775,44.2582462966474,44.9645046946228,45.6572612089787,46.3309845106299,46.987817062213,47.6301197767684,..,..
South Africa,ZAF,"Population, total",SP.POP.TOTL,44967708,45571274,46150913,46719196,47291610,47880601,48489459,49119759,49779471,50477011,51216964,52004172,52834005,53689236,54545991,55386367,56203654,57000451,57779622,58558270,..
South Africa,ZAF,GDP (current US$),NY.GDP.MKTP.CD,136361298082.061,121514658737.165,115482368343.658,175256916996.047,228590027400.653,257772710832.953,271638484826.109,299415505152.298,286769839732.726,295936485832.635,375349442837.24,416418874936.304,396332702639.496,366829390478.954,350904575292.317,317620522794.827,296357282715.109,349554116683.818,368288939768.322,351431649241.439,..
South Africa,ZAF,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.20000347551795,2.69999456713741,3.70038235175596,2.9490791374903,4.55455274472709,5.2770563116366,5.60379765712011,5.36047589053663,3.19104674115678,-1.53808933379921,3.03973081360166,3.2841681423114,2.21335480848441,2.4852005003106,1.84699160365717,1.19373280124428,0.399087929556359,1.41451262585058,0.787055570495099,0.152583316664234,..
South Africa,ZAF,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,5937.6260860986,6017.17784586121,6161.46631380485,6266.01573980923,6472.10703408701,6729.8274660259,7017.71490394165,7299.02003724481,7432.11676075707,7216.67969294747,7328.61562893966,7454.72016478301,7500.04106663005,7563.99277707639,7582.69692889496,7556.78857882235,7476.62101155809,7476.38632385801,7433.61539826952,7345.96241792901,..
South Africa,ZAF,Access to electricity (% of population),EG.ELC.ACCS.ZS,71.7508926391602,70.2,77.1,78.8,80.9,80.9,80.7,82,81.9,82.7,82.9,84.7,85.3,85.4,86,85.5,84.2,84.4,91.2298736572266,..,..
South Africa,ZAF,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,52.8434678078669,48.4954115183745,64.0576493477387,66.2820862849653,71.9341286371531,71.2797151056624,70.0677349546251,72.5975761603066,71.5650346535941,72.8318885719266,67.9479513025107,73.4153538360434,76.9677349855104,76.7877506747487,77.6295638901199,75.3635314242526,70.7157223672873,70.3145301045502,89.5988191888486,..,..
South Africa,ZAF,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,86.0779418945313,86.3293762207031,86.5840759277344,87.7,87.13232421875,87.4384841918945,87.7654647827148,88.1090316772461,88.4649353027344,88.8289566040039,91.9796600341797,91.4,90.1366958618164,90.2880554199219,90.6449203491211,90.9994735717773,91.3525009155273,91.7047653198242,92.0568923950195,..,..
South Africa,ZAF,"CO2 emissions from electricity and heat production, total (% of total fuel combustion)",EN.CO2.ETOT.ZS,68.4253680795694,71.8298732897273,70.543418395447,70.5470208183776,69.6055190048744,67.4259313975664,67.4350197882126,67.8392601675863,69.3201956475509,63.9877822843123,70.3840291095049,69.1040425801546,68.0762343937796,66.4721723518851,67.480622813636,..,..,..,..,..,..
South Africa,ZAF,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,93.0628328930845,93.7470277125276,93.3012755989092,94.1045976613852,93.9447142323496,94.6371692383962,94.7108044217484,94.7700575815739,94.2669625350757,94.0980086299455,94.2606215516973,93.8041267297439,94.6315017280405,93.7438781636071,93.1018034160283,92.7112379223137,..,..,..,..,..
